T,V,P,RH,E
293.28,425.88,91.42,57.57,1763.24
390.78,414.84,91.59,43.49,1747.56
230.1,295.26,92.29,40.75,1823.88
163.8,249,92.1,51.73,1889.8
332.41,392.76,92.26,23.15,1777.84
291.07,288.84,92.23,38.59,1794.32
378.56,399.06,92.34,22.74,1731.52
65.26,243.84,92.84,55.96,1941.12
139.62,240.3,92.31,52.4,1911.72
120.51,217.8,93.36,43.28,1918.64
108.81,239.94,91.85,55.96,1929.24
392.73,427.92,91.47,40.54,1739.64
381.94,440.52,91.95,32.98,1781.68
228.02,267.48,92.41,47.4,1862.04
131.43,249.72,92.47,58.69,1854.28
399.49,419.34,92.27,35.34,1707.16
196.95,225.84,92.22,53.89,1855.92
125.32,219.96,93.37,42.07,1916.32
117.65,244.02,92.32,45.29,1946.2
337.48,382.68,92.45,29.68,1775.2
97.76,237.66,92.6,47.38,1926.16
279.24,367.62,92.66,36.86,1803.52
317.59,359.22,92.64,36.34,1766.44
255.06,261.36,92.08,22.56,1853.32
327.86,419.28,91.56,48.16,1772.96
219.83,263.76,92.12,47.92,1863.44
215.54,251.58,92.94,27.14,1866.44
353.34,474.3,91.73,56.59,1736.04
102.96,216.48,92.82,49.1,1931.92
322.14,411.78,92.18,26.22,1793.72
149.24,246.84,93.42,54.3,1856.28
173.42,250.74,91.95,52,1844.48
284.83,421.92,91.74,54.34,1757.16
314.86,371.16,92.13,48.07,1770.6
71.89,243.84,92.8,58.35,1919.52
245.31,377.76,92.78,49.72,1820.88
99.06,268.26,92.78,41.98,1944.28
343.33,365.58,91.56,39.61,1746.84
207.74,268.08,92.59,51.56,1851.08
87.88,217.5,93.48,54.7,1937.44
400.14,442.02,91.45,35.22,1708.6
100.88,253.68,91.68,49.99,1935.2
126.62,246.06,92.65,59.03,1863.2
157.82,270,93.08,53.52,1906.4
400.66,422.16,91.5,35.27,1756.64
238.16,253.08,91.12,57.59,1833.84
313.43,409.8,92.48,47.5,1730.48
93.47,244.86,92.29,51.39,1948.6
132.08,249.72,92.1,56.58,1860.2
421.46,394.44,91.91,31.64,1756.04
180.96,237.48,92.05,48.17,1862.68
415.74,384.3,91.86,34.81,1758.24
349.44,448.68,91.86,38.89,1763.36
132.21,242.76,92.59,40.93,1881.32
175.5,248.64,92.34,41.02,1885.36
223.21,378.54,92.78,57.59,1787
303.29,437.94,91.76,53.65,1760.16
225.81,293.52,91.99,35.04,1822.12
296.01,359.52,91.79,56.45,1751.6
77.35,226.8,92.91,40.78,1916.8
122.59,222.84,92.09,44.99,1894.28
151.84,243.3,92.93,51.46,1900.52
340.99,424.32,91.79,44.06,1781.12
349.05,343.14,91.63,36.02,1752.04
130.91,208.14,93.46,42.31,1914.6
358.67,431.82,91.69,52.93,1749.32
214.5,319.74,92.52,57.4,1833.48
137.41,226.38,93.12,42.17,1898.6
360.62,448.68,91.82,36.49,1747.48
183.82,237.54,91.89,57.61,1860.92
265.2,329.4,92.43,38.56,1810.24
337.48,361.92,92.38,33.31,1773.76
135.98,247.56,92.79,55.34,1895.04
393.38,355.32,92.11,36.65,1771.92
245.05,403.92,92.08,49.42,1786.8
306.41,383.46,91.97,48.44,1767.72
236.99,270.06,92.02,44.32,1816.24
322.4,392.88,92.6,37.23,1768.08
227.37,383.64,92.73,49.56,1810.84
278.85,396.3,92.26,44.24,1813.52
316.29,281.58,92.14,31.58,1796.28
156.91,262.26,93.23,51.37,1889.28
353.6,468.3,91.83,54.12,1722.2
158.86,247.2,92.44,48.73,1899.84
323.18,434.34,91.01,54.14,1763.4
99.84,239.76,93.07,52.49,1911.36
162.24,244.02,91.93,36.66,1903.84
190.58,256.62,92.67,47.87,1854.4
408.72,386.64,92.19,29.49,1750.4
294.32,382.38,92.17,50.53,1788.84
332.28,453.6,92.49,41.59,1768.8
86.97,261.9,92.74,41.73,1930.28
353.6,358.44,92,34.04,1760.52
219.7,269.28,92.56,43.33,1867.2
317.46,395.64,91.93,39.02,1758.52
342.81,424.74,91.39,46.38,1714
109.46,224.94,91.75,49.29,1915.48
385.45,427.5,91.01,44.38,1723.52
319.41,433.44,91.95,47.51,1739.72
235.43,312.48,91.14,60.05,1799.96
329.03,369,91.76,37.99,1748.12
344.5,396.3,92.46,36.8,1760.6
334.49,375.96,91.83,32.8,1779.4
332.93,284.58,91.69,32.71,1771.84
315.51,361.38,91.99,46.68,1755.96
340.21,422.82,91.84,41.38,1738.24
219.31,312.3,92.06,42.98,1841.24
198.51,237.24,91.88,49.15,1857.96
323.44,383.46,91.76,46.65,1789.12
166.66,231.72,92.61,50.28,1869.64
206.31,270,92.9,24,1883.4
173.03,240.6,92.26,49.27,1874.96
205.92,316.32,93.31,37.54,1859.72
180.7,270.48,93.03,50.06,1861.24
296.92,300.3,91.42,47.69,1771.4
157.43,247.02,92.68,37.55,1902.12
255.71,268.26,92.31,18.88,1859.96
229.84,245.34,91.93,36.82,1848.32
288.86,396.3,92.38,48.35,1771.8
390.65,398.64,91.68,46.09,1710.2
306.93,294.96,91.13,39.38,1774
188.76,242.1,91.92,41.9,1883.2
253.24,378.54,92.66,46.82,1798.4
367.64,341.4,91.49,38.99,1782.44
351.26,430.62,91.49,43.26,1712.4
424.71,406.98,91.62,25.3,1703
192.4,263.94,92.99,51.15,1847.88
306.93,262.62,91.98,33.65,1778.2
309.92,295.26,92.12,27.24,1786.16
355.42,382.68,92.41,29.04,1786.24
349.96,388.14,91.51,45.68,1750.48
411.19,417.54,91.7,37.09,1747.56
218.53,254.52,91.72,44.55,1848.76
368.03,397.02,91.8,43.6,1778.04
342.29,368.46,91.99,31.26,1811.16
174.85,275.22,91.67,52.64,1858.36
144.17,242.58,93.22,44.98,1963.84
350.74,448.68,91.8,41.72,1769.12
263.51,339.9,92.8,40.27,1817.16
325.13,399.36,91.79,38.96,1742.92
344.89,391.08,92.07,38.62,1749.56
177.97,240.6,92.22,50.14,1883.04
134.68,248.76,92.5,55.22,1913.08
301.34,308.58,91.96,49.1,1799.76
185.64,269.04,93.17,47.45,1898.28
235.69,238.32,91.16,35.31,1823.24
179.79,266.7,92.86,41.25,1850.4
348.92,431.64,91.51,47.47,1708.8
350.74,425.64,91.64,40.9,1738.92
47.19,230.64,92.38,52.43,1951.48
355.55,396.3,92.51,33.16,1758.4
398.71,467.7,92.3,37,1743.84
142.09,234.96,92.41,54.34,1919.32
261.82,277.98,92.11,50.03,1813.4
174.85,258.84,92.32,44.6,1896.4
383.89,431.82,91.69,47.55,1739.84
187.59,233.46,92.12,42.16,1875.32
323.18,392.04,92.09,36.2,1789
190.58,250.56,92.92,46.88,1854.4
90.87,211.14,92.67,41.37,1920.2
168.35,240.6,92.3,51.61,1884.28
320.97,430.38,91.83,42.32,1747.12
307.32,350.94,91.95,44.52,1783
207.09,155.28,91.77,43.7,1850.8
196.56,234.96,91.5,46.19,1855.12
291.59,382.56,91.8,45.16,1771.4
333.84,421.92,91.73,54.29,1725.28
143.78,249,92.1,53.88,1904.96
300.82,373.56,91.99,39.86,1777.52
433.42,419.28,91.6,25.63,1751.36
300.04,290.46,91.68,49.41,1774
402.09,431.1,91.69,35.08,1711.28
119.73,238.32,92.69,44.66,1915.84
301.99,430.62,91.36,52.86,1731.2
293.02,378.42,91.97,48.98,1769.12
172.12,244.98,91.63,52.52,1888.88
392.73,451.98,91.11,40.03,1725.84
333.32,408.84,91.41,33.67,1750.52
136.24,225,91.8,57.16,1898.28
189.02,247.02,92.29,40.67,1880.76
383.89,428.58,91.98,34.45,1755.12
163.41,235.08,93.01,46.37,1887.48
101.27,252.18,92.52,54.89,1909.04
351.52,419.88,91.68,45.25,1733
346.19,262.62,91.94,29.58,1763.8
393.77,429.48,91.82,32.42,1737.08
187.85,269.04,93.03,49.67,1844
132.86,270.06,92.57,56.17,1897.28
183.56,236.4,91.64,45.87,1874.52
278.72,307.14,91.74,50.96,1784.68
185.38,266.82,93.53,43.31,1863.08
373.62,426.84,91.96,29.16,1720.48
287.04,333,92.58,35.08,1823.16
279.89,317.04,91.37,52.93,1776.16
84.24,217.44,92.15,55.22,1938.6
393.64,425.88,91.59,44.57,1730.56
338.39,386.64,92.07,37.34,1783.56
363.74,431.88,91.42,48.6,1713.76
265.98,325.2,91.95,50.4,1792.4
152.36,235.08,93.11,41.12,1875.92
174.85,244.38,92.61,56.33,1844.12
330.72,378.78,91.98,46.7,1767.64
221.78,353.76,92.17,44.37,1844.6
335.27,383.4,92.22,36.29,1770.8
324.48,408.72,91.93,42.13,1750.48
100.1,244.32,92.98,49.18,1931.16
230.49,262.32,91.76,46.01,1815.76
408.2,426.36,91.68,44.86,1733.36
78.39,247.02,92.71,50.52,1954.28
281.19,300.96,91.43,50.9,1793.28
301.47,273.66,92.11,44.08,1818.48
368.55,426.84,91.88,36.23,1716.84
380.12,361.38,91.78,35.83,1752.96
123.11,219.24,91.63,46.59,1901.92
355.16,399.24,91.36,43.55,1725.32
406.12,434.34,90.86,40.9,1722.8
258.31,298.14,92.02,41.14,1824.12
180.96,260.46,92.28,36.98,1859.04
159.64,239.76,91.98,46.24,1872
439.27,414.3,91.06,24.08,1740.4
311.61,412.02,91.51,46.1,1766.12
286,307.8,92.08,51.47,1800.72
408.46,414.78,91.76,34.3,1703.92
256.75,294.12,91.76,55.73,1786.52
162.76,254.04,92.61,57.17,1858.84
397.02,414.84,91.57,42.28,1741.84
386.62,421.92,91.65,31.63,1730.76
284.57,449.58,92.37,46.73,1793.88
313.04,295.8,91.2,42.25,1773.84
268.06,408.72,92.03,47.93,1788.64
236.73,373.56,92,52.37,1823.52
94.38,216.48,92.86,49.89,1934.32
288.6,383.64,92.49,33.7,1782.4
332.54,380.82,91.95,40.09,1774.64
245.96,406.26,91.65,38.72,1787.08
205.4,243.96,92.38,52.94,1834.2
357.5,295.8,91.27,35.54,1759.08
398.32,449.22,91.77,35.41,1749.72
149.37,265.2,92.62,54.68,1902.04
152.49,243.84,92.79,58.19,1908.24
371.8,371.16,91.99,37.28,1758.96
85.93,233.46,92.34,55.39,1937.28
227.24,317.4,92.73,45.88,1833.36
185.64,236.34,92.17,46.51,1879.68
281.71,374.34,91.63,55.78,1783.4
264.68,345,92.21,49.78,1809.12
203.97,227.22,92.83,50.63,1861.64
267.41,382.68,92.43,44.4,1799.72
99.32,240.12,93.78,42.71,1917.72
420.03,413.64,91.46,43.07,1724.56
138.32,237.66,92.58,40.09,1885.92
371.93,418.5,91.8,43.02,1762.12
396.89,391.08,92.06,25.11,1751.56
184.34,322.92,92.45,38.74,1861
195.13,261.36,92.24,37.09,1863.36
313.95,387.78,92.79,34.84,1795.48
236.99,373.56,91.95,54.81,1794.56
84.5,232.08,92.53,37.74,1934.88
256.36,399.06,92.28,44.82,1832.28
344.76,390.36,92.13,31.07,1758.64
403.13,444.96,91.9,33.91,1738.56
380.12,385.98,91.95,39.05,1760.48
230.1,298.68,91.38,60.05,1804.96
137.54,248.94,92.77,55.14,1892.76
276.12,250.02,92.05,29.56,1839.24
241.8,341.1,92.03,48.14,1801.04
388.57,427.74,91.73,33.43,1725.8
117.78,240.12,93.74,49.22,1912.04
156.13,248.88,92.52,40,1876.32
181.22,286.98,91.35,48.72,1860.52
239.2,263.76,92.04,46.69,1858.52
292.37,377.76,92.75,47.39,1789.92
120.51,237.84,91.89,47.74,1921.16
98.93,236.52,93.18,44.86,1902.2
274.56,383.46,91.76,57.68,1790.56
113.36,240.12,93.76,46.85,1911.44
318.5,364.62,92.47,44.2,1759.64
360.75,399.24,91.84,27.82,1750.32
170.69,244.5,92.37,48.52,1890
223.6,350.94,92.01,55.21,1834
201.24,322.92,92.37,38.86,1850.76
371.93,317.04,91.45,27.44,1749.56
297.57,374.34,91.62,52.9,1792.52
234,262.2,92.31,36.77,1857.04
135.07,241.32,91.8,49.96,1914.32
180.44,292.74,92.48,47.64,1856.56
402.48,418.92,91.78,30.93,1754.96
121.94,268.62,92.76,51.16,1895.6
306.02,391.62,92.16,38.57,1780.76
238.29,266.04,92.69,31.01,1875.2
393.9,442.02,91.42,35.24,1726.28
290.29,275.22,91.62,38.17,1788.08
124.41,238.92,92.1,53.49,1872.08
380.25,399.06,92.32,20.19,1766.8
299.91,392.76,92.19,28.06,1784.76
237.38,354.9,92,51.61,1804.36
348.27,467.7,91.81,48.13,1751.64
104.91,262.14,92.46,52.4,1940.72
98.41,246.84,93.48,52.78,1911.2
320.45,434.58,91.64,54.03,1750.36
318.63,311.16,92.24,40.54,1786.96
221.52,240.72,91.98,49.88,1832.4
252.98,282.18,92.17,53.32,1842.28
133.12,235.68,91.83,48.97,1910.12
298.09,373.56,91.93,50.2,1753.36
203.06,212.4,92.38,32.37,1871.8
309.01,384.9,92.82,33.52,1793.72
83.2,247.02,92.69,51.22,1955.28
143.26,229.68,92.14,57.4,1888.44
344.24,438.36,91.64,54.44,1733.24
133.77,250.44,92.72,48.31,1922.48
97.11,240.42,92.31,30.18,1958.36
164.45,266.04,92.67,42.87,1875.2
87.75,236.22,92.75,42.59,1945.04
167.96,236.1,92.23,52.97,1879.32
282.1,386.64,92.27,44,1794.04
355.42,429.84,91.65,43.33,1755.04
380.51,419.34,92.29,40.3,1702.2
332.02,294.96,91.24,28.44,1774.2
222.04,231.48,92.31,44.05,1845.96
183.3,269.04,93.19,47.65,1872.88
262.99,416.7,92.09,53.87,1783.28
162.63,298.98,91.69,56.56,1811.36
215.15,325.8,92.54,36.5,1842.36
371.28,445.32,91.59,41.76,1738.16
147.94,316.5,93.29,43.63,1879.6
274.56,283.44,91.25,42.33,1849.64
201.63,220.26,92.19,43.75,1863.4
230.75,298.68,91.32,60.05,1808.08
363.87,401.46,91.68,35.78,1758.96
296.14,430.62,91.39,53.54,1741.84
431.21,422.4,91.31,34.8,1720.56
340.47,416.04,91.77,52.55,1735.96
204.75,221.94,91.61,56.28,1857.52
342.29,360.36,91.44,24.94,1800.64
214.24,293.52,91.99,38.5,1834.68
277.94,365.04,92.54,49.7,1783.2
195,243.96,92.39,53.77,1826.52
226.2,258.84,92.59,45.19,1830.36
322.92,355.32,92.11,49.85,1770.8
172.25,262.2,92.15,45.63,1888.88
296.92,427.5,91.08,57.87,1735.4
275.21,358.8,92.37,46.64,1822.64
316.16,397.5,91.74,55.13,1779.72
180.05,293.52,91.97,47.54,1849.52
131.69,228.96,92.14,47.42,1899.68
183.43,270.48,93.02,49.93,1858.8
312.91,440.76,91.51,44.08,1753.64
343.33,409.44,91.87,46.67,1714.08
387.79,431.88,91.3,40.53,1707.92
295.36,352.92,92.05,46.63,1794.68
215.15,249.96,91.95,33.32,1860.56
296.92,371.22,91.88,31,1770.88
249.73,318.96,92.11,48.98,1816.04
365.3,366.12,91.93,35.43,1750
160.55,244.38,92.64,57.32,1866.84
184.47,237.12,92.58,46.35,1868.56
390.65,341.4,91.55,25.18,1750.2
310.57,385.62,92.12,45.13,1803.28
346.58,441.36,91.54,59.56,1734.48
242.84,354.84,92.45,46.25,1811.4
219.7,325.8,92.54,36.34,1842.28
239.2,262.14,92.42,31.46,1848.2
289.9,304.68,91.71,48.76,1799.44
305.11,364.62,92.47,45.22,1777.84
305.24,398.94,92.22,37.57,1800.2
404.3,417.06,91.89,27.24,1718.96
375.7,408.72,91.99,27.94,1754.12
117.91,217.8,92.3,34.09,1919.92
153.4,263.94,92.81,59.06,1867
255.45,383.46,91.75,59.45,1779.6
136.63,268.68,92.05,51.17,1899.08
292.63,411.78,92.28,34.31,1803
211.38,231.48,92.37,46.02,1850.16
355.94,420.24,91.93,43.36,1715.52
198.9,250.56,92.96,42.94,1866.36
116.48,240.3,92.36,53.64,1868.96
185.77,237.54,92.03,55.43,1852.52
185.77,227.1,91.82,55.69,1874.52
214.11,228.06,92.94,43.37,1846.16
447.59,411.06,91.83,20.45,1725.56
289.38,362.22,91.65,55.42,1765.32
202.54,243.96,92.39,52.45,1842.44
278.07,385.62,91.97,57.23,1780.48
172.25,204.18,92.63,43.26,1881.84
328.12,412.02,91.52,46.17,1769.16
302.51,365.04,92.65,40.34,1760.88
265.98,308.58,91.82,50.27,1826.8
152.23,240.3,92.23,51.65,1885.96
158.73,250.02,92.08,51.11,1900.28
232.7,406.26,91.3,53.75,1798.92
315.12,429.48,91.83,54.68,1751
140.53,267.78,92.78,52.97,1895.44
351.52,290.46,91.69,36.44,1764.84
117.26,228.48,92.64,41.99,1913.28
217.49,395.64,92.16,54.11,1813.56
178.75,245.34,91.93,49.68,1885.68
306.41,407.4,91.46,42.07,1786.88
129.48,247.56,92.99,50.3,1900.84
190.84,247.38,90.77,50.23,1877
231.01,317.4,92.74,48.91,1831.92
306.8,392.88,92.49,36.76,1777.52
358.54,391.62,92.14,30.26,1765.2
140.27,261.36,92.29,43.81,1918.56
343.2,290.46,91.68,40.17,1768.92
133.25,248.76,92.79,52.24,1927.76
189.15,256.44,93.39,39.98,1831.08
371.41,308.58,92,28.67,1800.16
339.69,288.36,92.14,28.6,1763.96
215.15,277.08,91.82,57.92,1823.2
326.56,429.48,91.83,52.5,1734.32
390.52,403.5,92.51,22.88,1739.32
380.77,439.08,92.04,39.99,1721.24
130.78,259.32,92.19,51.42,1892
328.38,393.66,92.22,35.01,1789.36
305.37,256.8,92.18,39.19,1839.6
382.72,393.06,92.26,33.89,1782.68
135.72,234.24,93.09,51.02,1921.36
205.27,305.28,92.23,59.94,1840.76
160.94,249.72,92.03,50.49,1844.28
85.41,261.9,92.57,44.68,1925.84
363.74,349.98,92.17,32.55,1751.04
383.63,453.6,92.54,30.37,1724.72
134.42,225,91.85,57.34,1896.32
217.49,325.8,92.54,35.66,1842.16
125.58,246.36,92.84,50.82,1928.8
163.67,246.84,93.25,51.93,1862.96
335.66,366.48,92.15,39.84,1793.84
185.38,257.16,91.94,53.02,1884.76
328.51,402.42,91.49,39.81,1783.24
356.72,449.4,91.26,45.99,1745.68
143.52,250.44,92.96,46.51,1908.8
135.07,241.32,91.51,52.66,1916.56
194.74,237.48,91.98,45.04,1871.08
366.08,439.26,91.12,52.96,1731.12
364.39,412.02,91.41,34.9,1755.2
274.82,353.88,91.73,56.62,1793.24
255.97,339.9,92.81,42.01,1819.48
232.18,317.4,92.34,40.79,1829.68
309.14,418.26,91.71,49.9,1772.24
348.53,339.42,92.15,36.96,1771.76
140.66,267.78,92.79,54.16,1892.92
394.16,388.14,91.49,30.82,1746.88
256.36,282.18,92.01,54.22,1834.36
297.05,361.74,92.48,37.15,1794.32
397.15,397.5,91.74,38.11,1762.96
148.07,262.32,91.9,59.3,1871.2
266.63,378.54,92.4,55.79,1783.44
392.21,388.74,92.46,26.29,1759
305.24,308.58,91.56,50.9,1767.12
220.22,303.54,92.61,56.53,1842.56
298.61,384.9,92.82,42.37,1800.28
365.82,308.58,92.01,31.6,1781.32
371.28,417.06,92.04,27.95,1737.4
150.67,240.3,92.27,51.73,1897.84
173.03,253.08,92.36,50.36,1866.24
88.92,246.36,92.82,53.75,1959.84
314.34,398.88,91.27,38.92,1738
296.79,356.58,91.41,50.36,1763.04
308.1,377.46,92.02,34.73,1779.96
125.32,239.1,92.08,50.29,1913.48
250.9,393.54,92.19,49.19,1811.04
195.39,214.26,92.3,33.93,1870.44
377,465.24,91.94,45.08,1725.48
105.82,247.56,92.78,54.77,1910.28
260,379.86,92.46,37.86,1798.72
124.54,228.48,92.68,40.52,1914
154.96,243.72,92.36,33.24,1859.6
140.4,249.96,92.16,49.18,1902.04
321.75,381.42,91.86,50.54,1781.2
77.35,213.42,93.26,46.57,1950.88
393.12,403.92,92.19,27.92,1748.72
175.24,248.64,92.33,42.88,1885.56
306.41,400.5,92.55,48.11,1758.84
229.32,346.56,92.39,51.02,1823
116.87,217.8,93.37,44.39,1915.8
247.26,269.1,92.23,26.02,1861.68
156.26,251.52,93.65,50.67,1863.28
343.85,327,92.27,39.33,1803.04
206.18,262.02,91.92,49.34,1861.84
308.75,369,91.65,41.48,1769.4
101.27,246.06,93.09,58.32,1908
370.89,399.06,92.35,24.41,1744.64
283.79,377.46,91.92,54.8,1775.04
251.03,316.32,93.18,32.36,1821
412.1,422.16,91.48,34.91,1753.52
217.88,270.54,92.21,34.63,1834.68
340.21,293.52,91.81,20.66,1760.36
248.69,401.16,92.09,42.74,1813.24
256.49,298.14,91.62,43.81,1817.12
116.22,252.42,92.63,51.56,1893.36
413.01,456.54,91.58,44.02,1726.76
341.12,308.58,91.94,35.71,1791.64
137.41,249.3,91.24,40.73,1902.4
248.3,262.74,92.37,46.4,1849.12
255.97,339.9,92.8,40.16,1828.68
356.33,448.02,92.42,48.1,1716.84
292.5,352.74,92.5,43.81,1773.4
369.2,355.62,92,35.85,1766.56
254.15,339.18,92.75,46.86,1822.24
138.32,246.24,93.18,56.15,1875.52
332.67,366.48,92.11,46.37,1775.64
268.06,290.46,91.58,52.51,1781.6
159.51,262.8,93.02,34.2,1874.2
374.14,360.42,92.23,29.42,1758.96
407.94,433.74,91.7,43.96,1722.32
390.52,403.5,92.51,31.7,1740.68
226.2,267.48,92.63,36.35,1872.04
206.83,269.94,91.9,37.69,1838.92
328.9,356.58,91.74,34.98,1770
346.84,382.38,91.79,42.93,1758.76
194.22,240,92.52,39.26,1825.64
242.84,262.14,92.43,29.33,1852.08
138.71,252.12,90.6,59.96,1890.6
223.08,353.16,92.4,51.83,1815.04
367.12,429.48,91.83,40.75,1736.04
355.81,435.48,91.65,47.96,1712.2
104.52,251.52,93.61,55.33,1930.32
143.13,241.32,91.92,49.85,1906.76
200.98,225.84,92.23,52.52,1851.84
136.24,237.48,91.98,53.32,1890.44
216.97,261.12,92.89,48.52,1842.04
122.46,248.4,93.67,52.68,1891.96
322.53,359.22,92.6,36.71,1779.56
296.14,374.64,91.98,45.26,1784.48
355.55,364.5,91.73,40.54,1740.56
244.01,312.48,91.27,59.92,1798.48
123.89,229.08,92.58,45.2,1906.16
387.66,399.06,91.91,26.14,1756.68
191.36,260.04,92.1,51.37,1856.88
267.8,354.9,92.12,54.64,1775.04
385.58,355.32,92.11,36.72,1766.32
202.15,262.26,93.12,47.77,1860.56
269.36,383.64,92.47,35.9,1790.76
99.97,258.12,92.23,51.14,1945.84
128.31,256.44,93.15,52.64,1883.6
301.73,440.52,91.85,52.97,1758.64
121.42,248.94,92.78,58.55,1884.16
156.39,240.6,92.3,51.23,1899.76
304.72,433.44,91.93,52.82,1753.36
229.84,269.52,93.14,41.82,1832.48
192.14,257.16,92.3,50.85,1884.68
312.65,371.22,91.79,32.72,1768.64
402.61,406.14,91.42,30.53,1701.4
345.54,425.88,91.72,46.42,1737.64
404.95,397.5,91.72,36.65,1750.2
216.32,275.22,91.73,59.32,1827.16
244.01,303.96,92.26,52.4,1828.28
169,235.68,92.43,49.16,1894.4
271.44,284.7,91.59,45.73,1797.36
247.78,339.9,92.8,49.28,1822.8
124.67,222.84,92.16,43.71,1898.96
246.35,253.38,92.09,47.64,1850.92
71.76,257.1,92.07,56.29,1915.92
159.51,247.02,92.67,31.31,1895.36
379.34,409.44,91.82,40.82,1714.08
198.77,155.28,91.75,39.6,1857
259.74,339.18,92.75,44.12,1819.56
99.97,217.44,92.1,53.02,1929.84
142.61,243.6,92.27,52.55,1914.76
399.62,474.3,91.43,43.91,1722.76
113.49,247.56,92.78,54.82,1905.68
299.13,356.64,92.07,49.57,1782.88
210.6,232.38,91.1,45.02,1871.56
233.22,372.6,92.71,49.59,1814.2
279.11,343.14,91.5,45.48,1793.24
261.04,375.12,92.54,45.44,1803.92
172.38,244.98,91.63,54.38,1888.56
392.47,408.48,91.9,30.2,1725
293.93,359.22,92.65,39.67,1764.8
353.34,386.64,92.07,36.76,1761.2
170.95,244.68,93.1,47.75,1849.2
129.61,247.56,92.78,54.68,1901.72
413.27,457.2,91.63,33.78,1736.04
149.89,248.34,92.58,51.31,1897.96
319.28,352.92,91.95,43.48,1771.04
233.48,286.98,91.36,51.43,1818.36
263.38,307.14,91.72,56.08,1792.4
351.78,435.48,91.75,54.19,1716.72
180.57,248.94,92.73,51.88,1878.4
377.91,429.84,91.46,41.72,1762.04
404.17,357.42,91.88,36.3,1760.32
101.4,234.24,92.59,39.9,1929.24
322.14,413.64,91.57,42.34,1743.72
252.07,360.6,91.84,49.99,1810.28
317.85,398.94,92.2,34.89,1796.88
341.12,467.7,92.2,51.13,1752.04
330.33,414.84,91.49,52.44,1746.36
315.38,339.42,92.17,42.21,1771.6
303.42,354.84,92.5,47.35,1758.4
307.06,371.22,91.82,29.26,1791.72
236.86,237.78,91.37,47.4,1863.12
230.62,298.68,91.35,60.05,1801.76
141.83,227.52,91.7,39.92,1894.88
70.85,234.24,92.73,46.23,1949.32
328.25,350.76,92.32,42.46,1776.2
131.17,246.06,92.72,57.93,1884.6
380.38,416.04,91.8,35.18,1741.28
269.62,358.8,92.31,45.83,1811.96
362.18,369,91.75,27.71,1757.96
372.06,478.44,91.65,39.23,1744.48
278.98,303.54,92.43,40.28,1814.68
327.08,325.2,92.06,34.81,1767.96
151.06,260.88,92.42,45.79,1873.48
154.31,250.68,92.09,38.87,1883.36
240.5,251.1,92.35,38.87,1867.2
340.08,314.16,92.15,35.11,1812.32
245.96,264.36,92.5,41.25,1814.88
302.9,292.68,92.56,45.22,1764.32
316.03,395.64,91.95,36.97,1770.76
132.86,229.08,92.55,42.42,1896.28
324.61,359.22,92.61,35.96,1774.8
401.44,417.06,91.95,27.95,1732.56
73.19,235.32,92.12,46.6,1947.32
350.61,386.7,91.77,32.38,1775
190.32,322.92,92.39,36.35,1852.72
134.03,270.06,92.58,56.2,1894.96
211.9,232.38,91.07,44.07,1862.8
221.65,269.28,92.52,52.91,1838.52
332.02,362.22,91.5,42.92,1744.56
267.54,305.4,91.99,43.54,1810.4
353.08,284.58,91.74,27.47,1771.4
258.18,250.02,92.03,32.34,1851.44
117,258.78,92.75,48.79,1924.36
193.05,351.54,92.19,53.91,1818.48
402.61,445.32,91.63,29.84,1726.32
316.55,439.02,92.02,51.53,1742.64
141.57,265.2,92.57,51.79,1916.64
112.19,262.74,92.37,49.95,1935.64
283.14,284.58,91.63,40.01,1787.16
312.26,465.24,91.67,50.35,1754.08
445.9,448.02,92.36,15.53,1711.36
204.75,236.34,92.22,45.77,1874.4
349.31,449.94,91.13,43.15,1751.12
108.55,242.76,92.66,43.96,1899.16
215.8,251.58,92.91,29.39,1870.04
376.35,440.4,91.94,33.08,1762.68
127.14,316.5,93,46.99,1878.32
376.74,440.52,91.93,43.74,1728.8
171.73,243.36,92.56,38.69,1903.44
153.14,239.76,91.94,49.77,1891.16
263.9,403.92,92.14,48.54,1766.04
390.91,418.92,91.85,34.52,1749.52
257.79,356.64,92.09,54.74,1784.6
131.3,250.74,92.67,46.84,1896.36
398.97,442.02,91.47,36.35,1721.8
370.89,408.48,92.12,25.52,1755.64
69.81,232.08,92.52,45.89,1948.28
123.11,244.86,93.31,55.12,1919.84
124.02,247.02,92.71,39.37,1924.72
219.05,317.4,92.68,48.77,1843.36
216.97,268.68,91.86,34.91,1824.68
109.46,258.84,91.97,48.19,1933.96
121.94,248.64,92.28,52.08,1927.84
351,354.9,92.1,36.83,1762.32
347.75,339.42,92.16,34.76,1775.68
276.12,301.92,91.69,50.9,1789.28
240.89,238.32,91.02,38.45,1829.04
192.92,262.14,92.39,41.2,1888.28
263.64,343.5,91.83,53.05,1808.12
247.26,284.7,91.59,46.06,1812.32
354.38,382.62,92.19,39.95,1744.04
313.3,408.48,92.07,39.14,1761.32
192.53,269.28,92.65,40.02,1858.6
143.26,244.86,92.39,46.88,1896.04
111.15,217.5,93.59,51.14,1922.72
329.03,393.54,91.92,47.83,1763.84
322.66,449.22,91.84,44.12,1737.84
346.97,355.26,92.05,34.55,1745.32
283.27,277.26,92.08,43.2,1799.96
146.38,269.52,93.06,53.39,1898.76
366.34,295.8,91.27,33.34,1755.64
